word	pos	source	category
가게	명사	NAVI curated seed	일반
가구	명사	NAVI curated seed	일반
가락	명사	NAVI curated seed	일반
가람	명사	NAVI curated seed	일반
가면	명사	NAVI curated seed	일반
가방	명사	NAVI curated seed	일반
가수	명사	NAVI curated seed	일반
가시	명사	NAVI curated seed	일반
가을	명사	NAVI curated seed	일반
가위	명사	NAVI curated seed	일반
가족	명사	NAVI curated seed	일반
간장	명사	NAVI curated seed	일반
갈대	명사	NAVI curated seed	일반
감자	명사	NAVI curated seed	일반
강물	명사	NAVI curated seed	일반
강아지	명사	NAVI curated seed	일반
개미	명사	NAVI curated seed	일반
거울	명사	NAVI curated seed	일반
건물	명사	NAVI curated seed	일반
겨울	명사	NAVI curated seed	일반
계단	명사	NAVI curated seed	일반
계란	명사	NAVI curated seed	일반
고기	명사	NAVI curated seed	일반
고래	명사	NAVI curated seed	일반
고양이	명사	NAVI curated seed	일반
공책	명사	NAVI curated seed	일반
과일	명사	NAVI curated seed	일반
과자	명사	NAVI curated seed	일반
구름	명사	NAVI curated seed	일반
구슬	명사	NAVI curated seed	일반
국수	명사	NAVI curated seed	일반
기차	명사	NAVI curated seed	일반
기타	명사	NAVI curated seed	일반
김밥	명사	NAVI curated seed	일반
나무	명사	NAVI curated seed	일반
나라	명사	NAVI curated seed	일반
나비	명사	NAVI curated seed	일반
낙엽	명사	NAVI curated seed	일반
냄비	명사	NAVI curated seed	일반
노래	명사	NAVI curated seed	일반
눈물	명사	NAVI curated seed	일반
다리	명사	NAVI curated seed	일반
단어	명사	NAVI curated seed	일반
달빛	명사	NAVI curated seed	일반
대문	명사	NAVI curated seed	일반
도시	명사	NAVI curated seed	일반
도서관	명사	NAVI curated seed	일반
동굴	명사	NAVI curated seed	일반
동물	명사	NAVI curated seed	일반
두부	명사	NAVI curated seed	일반
라디오	명사	NAVI curated seed	일반
라면	명사	NAVI curated seed	일반
마당	명사	NAVI curated seed	일반
마을	명사	NAVI curated seed	일반
마음	명사	NAVI curated seed	일반
만두	명사	NAVI curated seed	일반
말씀	명사	NAVI curated seed	일반
멜론	명사	NAVI curated seed	일반
모래	명사	NAVI curated seed	일반
모자	명사	NAVI curated seed	일반
목걸이	명사	NAVI curated seed	일반
무지개	명사	NAVI curated seed	일반
문구	명사	NAVI curated seed	일반
물감	명사	NAVI curated seed	일반
미소	명사	NAVI curated seed	일반
바다	명사	NAVI curated seed	일반
바람	명사	NAVI curated seed	일반
바위	명사	NAVI curated seed	일반
바지	명사	NAVI curated seed	일반
박물관	명사	NAVI curated seed	일반
반지	명사	NAVI curated seed	일반
발자국	명사	NAVI curated seed	일반
밤하늘	명사	NAVI curated seed	일반
방울	명사	NAVI curated seed	일반
배추	명사	NAVI curated seed	일반
버섯	명사	NAVI curated seed	일반
버스	명사	NAVI curated seed	일반
별빛	명사	NAVI curated seed	일반
보리	명사	NAVI curated seed	일반
보석	명사	NAVI curated seed	일반
봄날	명사	NAVI curated seed	일반
분필	명사	NAVI curated seed	일반
비행기	명사	NAVI curated seed	일반
사과	명사	NAVI curated seed	일반
사람	명사	NAVI curated seed	일반
사전	명사	NAVI curated seed	일반
사탕	명사	NAVI curated seed	일반
산책	명사	NAVI curated seed	일반
살구	명사	NAVI curated seed	일반
상자	명사	NAVI curated seed	일반
새벽	명사	NAVI curated seed	일반
색연필	명사	NAVI curated seed	일반
생각	명사	NAVI curated seed	일반
서랍	명사	NAVI curated seed	일반
선물	명사	NAVI curated seed	일반
설탕	명사	NAVI curated seed	일반
소나무	명사	NAVI curated seed	일반
소리	명사	NAVI curated seed	일반
손가락	명사	NAVI curated seed	일반
수박	명사	NAVI curated seed	일반
수첩	명사	NAVI curated seed	일반
숟가락	명사	NAVI curated seed	일반
시계	명사	NAVI curated seed	일반
시장	명사	NAVI curated seed	일반
신문	명사	NAVI curated seed	일반
신발	명사	NAVI curated seed	일반
실험	명사	NAVI curated seed	일반
아침	명사	NAVI curated seed	일반
악보	명사	NAVI curated seed	일반
안경	명사	NAVI curated seed	일반
얼굴	명사	NAVI curated seed	일반
연필	명사	NAVI curated seed	일반
열쇠	명사	NAVI curated seed	일반
오리	명사	NAVI curated seed	일반
오븐	명사	NAVI curated seed	일반
우산	명사	NAVI curated seed	일반
운동장	명사	NAVI curated seed	일반
음악	명사	NAVI curated seed	일반
의자	명사	NAVI curated seed	일반
이야기	명사	NAVI curated seed	일반
자동차	명사	NAVI curated seed	일반
자전거	명사	NAVI curated seed	일반
장갑	명사	NAVI curated seed	일반
장난감	명사	NAVI curated seed	일반
전화	명사	NAVI curated seed	일반
정원	명사	NAVI curated seed	일반
종이	명사	NAVI curated seed	일반
주머니	명사	NAVI curated seed	일반
지갑	명사	NAVI curated seed	일반
지도	명사	NAVI curated seed	일반
진달래	명사	NAVI curated seed	일반
차표	명사	NAVI curated seed	일반
창문	명사	NAVI curated seed	일반
책상	명사	NAVI curated seed	일반
초승달	명사	NAVI curated seed	일반
초콜릿	명사	NAVI curated seed	일반
치즈	명사	NAVI curated seed	일반
카메라	명사	NAVI curated seed	일반
커피	명사	NAVI curated seed	일반
컴퓨터	명사	NAVI curated seed	일반
코끼리	명사	NAVI curated seed	일반
쿠키	명사	NAVI curated seed	일반
토끼	명사	NAVI curated seed	일반
토마토	명사	NAVI curated seed	일반
파도	명사	NAVI curated seed	일반
파스타	명사	NAVI curated seed	일반
편지	명사	NAVI curated seed	일반
포도	명사	NAVI curated seed	일반
풍선	명사	NAVI curated seed	일반
하늘	명사	NAVI curated seed	일반
학교	명사	NAVI curated seed	일반
한글	명사	NAVI curated seed	일반
햇살	명사	NAVI curated seed	일반
향기	명사	NAVI curated seed	일반
호수	명사	NAVI curated seed	일반
화분	명사	NAVI curated seed	일반
화장실	명사	NAVI curated seed	일반
휴대폰	명사	NAVI curated seed	일반
기린	명사	NAVI curated seed	일반
린스	명사	NAVI curated seed	일반
스케치	명사	NAVI curated seed	일반
치킨	명사	NAVI curated seed	일반
킨더	명사	NAVI curated seed	일반
더위	명사	NAVI curated seed	일반
위성	명사	NAVI curated seed	일반
성냥	명사	NAVI curated seed	일반
냥이	명사	NAVI curated seed	일반
이불	명사	NAVI curated seed	일반
불빛	명사	NAVI curated seed	일반
빛깔	명사	NAVI curated seed	일반
깔개	명사	NAVI curated seed	일반
개울	명사	NAVI curated seed	일반
울타리	명사	NAVI curated seed	일반
리본	명사	NAVI curated seed	일반
본관	명사	NAVI curated seed	일반
관문	명사	NAVI curated seed	일반
문방구	명사	NAVI curated seed	일반
구두	명사	NAVI curated seed	일반
두레박	명사	NAVI curated seed	일반
박자	명사	NAVI curated seed	일반
자물쇠	명사	NAVI curated seed	일반
쇠고기	명사	NAVI curated seed	일반
기록	명사	NAVI curated seed	일반
록밴드	명사	NAVI curated seed	일반
드라마	명사	NAVI curated seed	일반
마이크	명사	NAVI curated seed	일반
크레용	명사	NAVI curated seed	일반
용기	명사	NAVI curated seed	일반
기상	명사	NAVI curated seed	일반
상상	명사	NAVI curated seed	일반
상추	명사	NAVI curated seed	일반
추억	명사	NAVI curated seed	일반
억새	명사	NAVI curated seed	일반
새우	명사	NAVI curated seed	일반
우유	명사	NAVI curated seed	일반
유리	명사	NAVI curated seed	일반
리듬	명사	NAVI curated seed	일반
듬성	명사	NAVI curated seed	일반
성공	명사	NAVI curated seed	일반
공원	명사	NAVI curated seed	일반
원두	명사	NAVI curated seed	일반
두부김치	명사	NAVI curated seed	일반
치마	명사	NAVI curated seed	일반
마차	명사	NAVI curated seed	일반
차례	명사	NAVI curated seed	일반
례절	명사	NAVI curated seed	일반
절구	명사	NAVI curated seed	일반
구름다리	명사	NAVI curated seed	일반
리어카	명사	NAVI curated seed	일반
카드	명사	NAVI curated seed	일반
드레스	명사	NAVI curated seed	일반
스프	명사	NAVI curated seed	일반
프로그램	명사	NAVI curated seed	일반
램프	명사	NAVI curated seed	일반
프라이팬	명사	NAVI curated seed	일반
팬케이크	명사	NAVI curated seed	일반
크림	명사	NAVI curated seed	일반
림보	명사	NAVI curated seed	일반
보름	명사	NAVI curated seed	일반
름름이	명사	NAVI curated seed	일반
이름	명사	NAVI curated seed	일반
름장	명사	NAVI curated seed	일반
장미	명사	NAVI curated seed	일반
미역	명사	NAVI curated seed	일반
역사	명사	NAVI curated seed	일반
사진	명사	NAVI curated seed	일반
진주	명사	NAVI curated seed	일반
주전자	명사	NAVI curated seed	일반
자두	명사	NAVI curated seed	일반
두더지	명사	NAVI curated seed	일반
지하철	명사	NAVI curated seed	일반
철도	명사	NAVI curated seed	일반
도장	명사	NAVI curated seed	일반
장독	명사	NAVI curated seed	일반
독서	명사	NAVI curated seed	일반
서점	명사	NAVI curated seed	일반
점심	명사	NAVI curated seed	일반
심장	명사	NAVI curated seed	일반
장소	명사	NAVI curated seed	일반
소금	명사	NAVI curated seed	일반
금요일	명사	NAVI curated seed	일반
일기	명사	NAVI curated seed	일반
기분	명사	NAVI curated seed	일반
분수	명사	NAVI curated seed	일반
수건	명사	NAVI curated seed	일반
건전지	명사	NAVI curated seed	일반
지우개	명사	NAVI curated seed	일반
개나리	명사	NAVI curated seed	일반
리모컨	명사	NAVI curated seed	일반
컨테이너	명사	NAVI curated seed	일반
너구리	명사	NAVI curated seed	일반
리조트	명사	NAVI curated seed	일반
트럭	명사	NAVI curated seed	일반
럭비	명사	NAVI curated seed	일반
비누	명사	NAVI curated seed	일반
누룽지	명사	NAVI curated seed	일반
지렁이	명사	NAVI curated seed	일반
이발소	명사	NAVI curated seed	일반
소방차	명사	NAVI curated seed	일반
차고	명사	NAVI curated seed	일반
고무	명사	NAVI curated seed	일반
무대	명사	NAVI curated seed	일반
대장	명사	NAVI curated seed	일반
장난	명사	NAVI curated seed	일반
난로	명사	NAVI curated seed	일반
로봇	명사	NAVI curated seed	일반
봇물	명사	NAVI curated seed	일반
물병	명사	NAVI curated seed	일반
병원	명사	NAVI curated seed	일반
원숭이	명사	NAVI curated seed	일반
이모티콘	명사	NAVI curated seed	일반
콘서트	명사	NAVI curated seed	일반
트럼펫	명사	NAVI curated seed	일반
펫말	명사	NAVI curated seed	일반
말풍선	명사	NAVI curated seed	일반
선풍기	명사	NAVI curated seed	일반
기념일	명사	NAVI curated seed	일반
일요일	명사	NAVI curated seed	일반
일상	명사	NAVI curated seed	일반
상어	명사	NAVI curated seed	일반
어항	명사	NAVI curated seed	일반
항구	명사	NAVI curated seed	일반
구경	명사	NAVI curated seed	일반
경치	명사	NAVI curated seed	일반
치약	명사	NAVI curated seed	일반
약속	명사	NAVI curated seed	일반
속도	명사	NAVI curated seed	일반
도토리	명사	NAVI curated seed	일반
리본끈	명사	NAVI curated seed	일반
끈기	명사	NAVI curated seed	일반
기와	명사	NAVI curated seed	일반
와인	명사	NAVI curated seed	일반
인형	명사	NAVI curated seed	일반
형광등	명사	NAVI curated seed	일반
등산	명사	NAVI curated seed	일반
산호	명사	NAVI curated seed	일반
호박	명사	NAVI curated seed	일반
박수	명사	NAVI curated seed	일반
수영장	명사	NAVI curated seed	일반
장화	명사	NAVI curated seed	일반
화가	명사	NAVI curated seed	일반
가로등	명사	NAVI curated seed	일반
등불	명사	NAVI curated seed	일반
불꽃	명사	NAVI curated seed	일반
꽃병	명사	NAVI curated seed	일반
병아리	명사	NAVI curated seed	일반
